pressure,dewpoint,humidity,cloud,rainfall,sunshine,winddirection,windspeed
1015.5,16.8,86,80,1,5.1,20,10.2
1023.8,11.5,72,49,0,9.5,20,9.2
1006.7,24.7,77,23,0,11.1,230,17.3
1023.8,11.4,72,32,0,10.6,60,27.1
1009.2,21.9,92,93,1,0,190,20.5
1011.9,24.5,81,86,1,2.1,70,32.2
1000.3,25,81,88,1,2.5,240,18.8
1013,25.8,90,87,1,0.7,60,18.2
1008.9,26,79,78,1,5.3,190,21.9
1011.7,23.7,83,88,1,1.6,60,52.8
1020.6,14.3,78,79,0,3.3,70,39.3
1008.3,17.3,58,78,0,7.5,10,17.2
1008.5,26.3,78,59,1,9.1,170,12.1
1007.7,25.7,77,59,0,10.4,230,16.6
1002.2,25.5,77,70,0,7.7,350,13.6
1017.4,18.1,86,88,1,0,70,35.3
1022.7,11.6,92,95,1,0.2,20,29.6
1005.1,24.9,74,47,1,10.4,50,14.1
1012.5,18.9,93,88,0,0.3,40,15.3
1018.9,17.7,75,56,1,6,100,15.7
1024.7,11.5,73,43,0,9.9,70,34.2
1007.9,25.4,83,75,1,5.5,220,20.8
1010.6,25.1,81,69,0,4.7,170,12.1
1009.4,23.1,75,60,0,8.3,60,29
1002.4,24.3,70,48,0,7.8,10,11
1020.4,21.6,79,66,1,5.3,80,40.8
1021.1,14.9,75,88,1,0.6,50,37.9
1006.5,24.4,79,84,1,4.5,210,8.9
1013.2,25.2,92,95,1,0,120,50.7
1022.2,11,77,82,1,0,70,44.7
1020.4,13.5,75,89,1,0.7,10,27.6
1018.1,16.9,82,71,0,3,40,15.4
1008.9,26.1,74,39,0,10.6,150,9.1
1000,24.2,69,30,1,7.6,220,11.7
1007.6,24.8,85,84,1,1.8,70,34.8
1008.4,24.7,72,20,0,11.4,210,9.6
1011.4,25.2,82,80,0,3.8,150,9.5
1014.7,17.4,91,96,1,0,50,28
1018.2,22.9,81,61,1,7,90,24.2
1024.4,10.1,61,19,0,10.7,40,16.9
1009.8,21.4,80,78,1,5,70,28.6
1010.7,22,90,81,1,1,300,11.1
1020.8,14.4,78,28,0,7.7,60,14.3
1013.9,23.8,90,51,0,7,80,17.2
1012.5,21.1,89,76,0,3.5,200,10.2
1010.9,24.8,94,88,1,0,110,16.5
1017,22.9,84,58,1,5.9,70,22.1
1022.5,4.3,49,11,0,9.3,10,48
1003.4,24.9,72,40,0,10,290,10.9
1007.4,25.1,90,88,1,0.2,210,12.9
1019.3,12.9,79,81,1,1.5,60,33.2
1023.6,9.8,68,22,0,11.1,70,13.4
1021.4,9.6,59,74,1,2.4,50,20.5
1017.1,11.1,76,49,0,3.9,50,28.4
1016.9,21.4,81,88,1,1.1,80,46.3
1005.3,24.2,72,29,0,10.6,220,6.1
1016.1,22,80,82,1,6.5,70,28.3
1024.9,0.3,39,13,0,10.2,20,44.7
1021.2,17.4,75,40,0,8.8,60,16
1008.5,24.9,74,32,0,11.8,260,21.9
1018,12.4,83,89,1,1.1,20,26.7
1010.6,24.5,75,38,0,10.3,20,5.5
1012.5,21.4,88,84,1,2.2,120,8
1023.2,9.6,67,55,1,5.9,20,23.9
1013.2,22.3,91,84,0,1.8,40,10
1016.5,16.4,90,90,1,2.1,40,23.3
1020.1,12.5,78,84,0,1,60,38
1016.8,21.7,77,77,1,3,80,37.5
1008.6,25.5,74,28,0,11,130,8.3
1012.2,24.3,79,67,0,3.8,180,8.1
1005.9,25.4,93,85,1,0,230,20
1009.3,25.3,76,44,1,10.1,200,9.5
1012.2,22.1,71,46,0,9.3,60,41.3
1008.2,25.9,82,85,1,7.2,220,12.8
1011.5,23.2,76,66,1,6.7,90,22.6
1011.2,24.6,78,69,0,10.7,20,11.8
1008.8,24.7,91,80,1,2.2,20,11.2
1024.1,10,65,58,0,5.6,60,26.9
1009.5,25.7,79,72,0,7,220,25.2
1010.3,26,80,83,1,6.3,190,24.4
1006.8,26.2,86,83,1,0.2,230,14.3
1021.3,16.2,82,87,1,1.6,50,22.5
1025.4,6,63,89,0,0.7,20,23.5
1013,21.6,73,50,0,8.3,80,9.9
1020.6,13.3,74,87,0,0.6,30,21.6
1016,23.2,84,20,0,8.2,80,7.9
1015.9,19.9,95,81,1,0,40,13.7
1009.3,25.6,75,51,0,10,200,12.6
1008.1,26.4,79,69,1,8.5,240,25.1
1011,23.6,89,82,1,2,50,11.1
1008.3,26.4,84,57,1,7.4,60,17.5
1006.6,24.7,74,49,1,6.3,270,16.1
1019.5,18.8,74,82,1,2.4,70,32.9
1016.6,17.3,82,84,1,0.4,50,20.3
1012.5,19.3,70,43,0,9.7,60,8.9
1015.6,22.1,77,48,0,9.5,60,10.3
1026.6,12.8,75,85,1,1,20,25.9
1011.4,23.9,86,84,1,3.1,220,11.8
1017.2,21.6,82,73,1,1.1,80,30.6
1025.3,13.3,78,86,1,1.2,20,20.9
1006.7,20.6,61,30,0,11.1,10,16.4
1020.8,7.2,54,29,0,10.2,40,17.2
1018.7,19.1,70,68,1,10.5,70,32.4
1008.1,25,72,38,0,11.2,180,9
1015,13.6,90,100,1,0,60,33.2
1015.2,20.7,76,19,0,9.1,90,14.1
1028.9,10.5,76,87,0,0.1,20,20.4
1011.1,24.8,78,38,0,11,220,11.7
1022.5,15,70,49,0,8.6,70,34
1024.4,6.8,79,94,1,0,10,27.3
1005.9,25.6,77,53,1,10.5,270,11.3
1018.1,20.4,77,83,1,3,80,29.8
1007,26.4,81,78,1,6.2,230,22.4
1012.7,23.2,75,47,0,7.9,60,24.5
1009.7,24.8,74,29,0,11.8,240,12.8
1013,21.4,68,49,0,9.2,50,39.9
1013.1,25.7,82,60,0,8.7,80,9.8
1026.4,3.1,48,11,0,9.5,40,25.2
1013.8,20.4,73,20,0,10.5,30,9.9
1008.5,26.2,78,69,0,9.2,230,23.7
1010.5,26,83,81,1,2.3,200,19.8
1007.9,25.6,87,84,1,0.1,230,22.9
1012,23,74,44,1,10.1,70,26.2
1005.9,24.3,88,77,1,1.9,230,25.9
998.5,24.8,71,80,1,10,220,26.4
1007.8,26.2,80,73,0,7.2,230,31.7
1016.4,15.5,76,72,0,6.3,60,20.7
1005.5,23.2,65,22,0,9.1,10,10.7
1008.1,25.6,79,43,0,9.7,240,24.9
1026.1,1.7,36,2,0,10.2,20,20.5
1007.4,25,87,88,1,0.9,40,5.7
1012,19.9,76,79,0,4.8,70,30.3
1017.7,16.8,70,44,0,6.9,20,28.6
1015.4,14.6,97,97,1,0,50,37.5
1012.5,19.9,95,88,1,0.6,50,15.1
1013.3,21.6,91,83,0,6.9,70,20
1023.9,4.3,52,0,0,10.2,40,16.7
1010.5,25.1,84,85,0,2,180,15.4
1015.6,19.6,90,81,1,1.5,40,14.5
1018.2,15.7,98,100,1,0,60,28.8
1009.8,25.6,82,70,1,6.4,220,22.6
1024.7,11.7,79,79,1,5,20,9.1
1010.5,23.1,76,54,0,10.6,300,13
1007.9,26.1,84,77,1,3.6,210,19
1020.9,17.8,73,61,0,4.3,20,29.6
1012,20.9,70,48,0,7.8,120,9.2
1020.8,12.1,77,34,0,9.1,30,24.4
1026.4,13,74,66,0,5.7,20,23.3
1014.8,18.1,81,82,1,3.9,20,15.3
1008.1,25,79,75,0,6.7,200,12
1022.2,14.1,78,90,1,0,30,28.5
1009.9,22.5,84,85,1,3.5,70,26.4
1027.1,3.4,70,95,1,0,20,55.5
1027.1,2.5,59,85,1,0.4,20,21.3
1008.3,24.1,74,29,0,5.7,10,4.4
1009.1,26,82,86,1,2.7,200,21.9
